351,Swimming Women's 200 metres Individual Medley,1996
352,Sailing Men's Windsurfer,1992
353,Freestyle Skiing Men's Slopestyle,2014
354,"Shooting Men's Running Target, Single Shot",1924
355,"Shooting Men's Running Target, Double Shot",1924
356,Rugby Sevens Men's Rugby Sevens,2016
357,"Wrestling Women's Lightweight, Freestyle",2016
358,Modern Pentathlon Women's Individual,2016
359,"Canoeing Men's Canadian Doubles, Slalom",1992
360,Judo Women's Half-Lightweight,2016
361,Diving Women's Plain High,1924
362,"Equestrianism Men's Dressage, Individual",1936
363,"Equestrianism Men's Dressage, Team",1936
364,"Tennis Women's Singles, Covered Courts",1908
365,Diving Men's Plain High,1912
366,"Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres",1976
367,"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",1976
368,Swimming Women's 800 metres Freestyle,2008
369,Sailing Women's Two Person Dinghy,1988
370,Alpine Skiing Women's Downhill,1964
371,"Shooting Men's Free Pistol, 50 metres, Team",1920
372,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",1920
373,"Shooting Men's Military Rifle, Prone, 300 metres, Team",1920
374,"Shooting Men's Military Rifle, Prone, 600 metres, Team",1920
375,"Shooting Men's Military Rifle, Standing, 300 metres, Team",1920
376,"Shooting Men's Free Rifle, Prone, 600 metres",1924
377,"Shooting Men's Free Rifle, 400, 600 and 800 metres, Team",1924
378,Rowing Men's Single Sculls,1952
379,"Cycling Men's Tandem Sprint, 2,000 metres",1948
380,Freestyle Skiing Women's Halfpipe,2014
381,Athletics Women's Heptathlon,2012
382,Cycling Men's Points Race,1992
383,Synchronized Swimming Women's Solo,1992
384,"Equestrianism Mixed Dressage, Individual",1972
385,"Equestrianism Mixed Dressage, Team",1972
386,Cross Country Skiing Men's 18 kilometres,1924
387,Swimming Men's 100 metres Breaststroke,2012
388,Figure Skating Mixed Ice Dancing,2014
389,"Shooting Mixed Free Pistol, 50 metres",1968
390,Sailing Women's Skiff,2016
391,"Canoeing Men's Kayak Doubles, 10,000 metres",1952
392,Triathlon Men's Olympic Distance,2008
393,Sailing Women's One Person Dinghy,2012
394,Cross Country Skiing Women's 30 kilometres,2014
395,Cross Country Skiing Women's 15 km Skiathlon,2014
396,Rowing Men's 17-Man Naval Rowing Boats,1906
397,Beach Volleyball Women's Beach Volleyball,2016
398,Weightlifting Men's Super-Heavyweight,1992
399,Rowing Men's Lightweight Coxless Fours,1996
400,"Wrestling Men's Light-Flyweight, Greco-Roman",1996
401,"Canoeing Men's Canadian Singles, 1,000 metres",2004
402,Sailing Mixed 5.5 metres,1964
403,"Equestrianism Mixed Jumping, Team",1976
404,Diving Men's Synchronized Platform,2012
405,Snowboarding Men's Halfpipe,2006
406,"Canoeing Women's Kayak Singles, Slalom",1992
407,Weightlifting Women's Flyweight,2016
408,Swimming Women's 100 metres Breaststroke,1984
409,Swimming Women's 200 metres Breaststroke,1984
410,"Wrestling Men's Middleweight B, Greco-Roman",1912
411,Athletics Men's Stone Throw,1906
412,"Athletics Men's Javelin Throw, Freestyle",1906
413,Athletics Men's Pentathlon (Ancient),1906
414,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",2012
415,Swimming Women's 100 metres Butterfly,1992
416,Weightlifting Men's Heavyweight I,1996
417,"Athletics Women's 3,000 metres Steeplechase",2008
418,"Athletics Men's Shot Put, Both Hands",1912
419,"Ski Jumping Men's Large Hill, Individual",1994
420,"Ski Jumping Men's Large Hill, Team",1994
421,Shooting Women's Trap,2008
422,Badminton Men's Doubles,2012
423,Swimming Women's 4 x 200 metres Freestyle Relay,2016
424,Athletics Men's 10 kilometres Walk,1912
425,Athletics Women's 20 kilometres Walk,2012
426,Athletics Women's 80 metres Hurdles,1964
427,Sailing Men's One Person Heavyweight Dinghy,2012
428,Freestyle Skiing Women's Aerials,2010
429,"Art Competitions Mixed Painting, Paintings",1928
430,"Tennis Mixed Doubles, Covered Courts",1912
431,Cycling Men's Madison,2000
432,"Art Competitions Mixed Sculpturing, Statues",1928
